"Fecha aplicación","Año","Cod_Territorio","Nom_Territorio","Cantidad_dosis_aplicadas","fecha_corte"
"2021-03-04","2021","11","Bogotá","11.060","2023-02-28"
"2021-03-04","2021","13","Bolívar","477","2023-02-28"
"2021-03-04","2021","13001","Cartagena","151","2023-02-28"
"2021-03-04","2021","15","Boyacá","216","2023-02-28"
"2021-03-04","2021","18","Caquetá","207","2023-02-28"
"2021-03-04","2021","85","Casanare","312","2023-02-28"
"2021-03-04","2021","19","Cauca","594","2023-02-28"
"2021-03-04","2021","20","Cesar","32","2023-02-28"
"2021-03-04","2021","27","Chocó","171","2023-02-28"
"2021-03-04","2021","23","Córdoba","495","2023-02-28"
"2021-03-04","2021","25","Cundinamarca","1.118","2023-02-28"
"2021-03-04","2021","94","Guainía","296","2023-02-28"
"2021-03-04","2021","95","Guaviare","26","2023-02-28"
"2021-03-04","2021","41","Huila","1.043","2023-02-28"
"2021-03-04","2021","44","La Guajira","190","2023-02-28"
"2021-03-04","2021","47","Magdalena","24","2023-02-28"
"2021-03-04","2021","47001","Santa Marta","651","2023-02-28"
"2021-03-04","2021","50","Meta","330","2023-02-28"
"2021-03-04","2021","52","Nariño","777","2023-02-28"
"2021-03-04","2021","54","Norte de Santander","636","2023-02-28"
"2021-03-04","2021","86","Putumayo","142","2023-02-28"
"2021-03-04","2021","63","Quindío","91","2023-02-28"
"2021-03-04","2021","66","Risaralda","342","2023-02-28"
"2021-03-04","2021","68","Santander","1.088","2023-02-28"
"2021-03-04","2021","70","Sucre","1.090","2023-02-28"
"2021-03-04","2021","73","Tolima","557","2023-02-28"
"2021-03-04","2021","76","Valle del Cauca","2.235","2023-02-28"
"2021-03-04","2021","76109","Buenaventura","13","2023-02-28"
"2021-03-04","2021","97","Vaupés","383","2023-02-28"
"2021-03-04","2021","99","Vichada","36","2023-02-28"
"2021-03-05","2021","91","Amazonas","2.752","2023-02-28"
"2021-03-05","2021","05","Antioquia","2.743","2023-02-28"
"2021-03-05","2021","81","Arauca","195","2023-02-28"
"2021-03-05","2021","08","Atlántico","241","2023-02-28"
"2021-03-05","2021","08001","Barranquilla","1.699","2023-02-28"
"2021-03-05","2021","11","Bogotá","5.152","2023-02-28"
"2021-03-05","2021","13","Bolívar","448","2023-02-28"
"2021-03-05","2021","13001","Cartagena","126","2023-02-28"
"2021-03-05","2021","15","Boyacá","549","2023-02-28"
"2021-03-05","2021","17","Caldas","654","2023-02-28"
"2021-03-05","2021","18","Caquetá","226","2023-02-28"
"2021-03-05","2021","85","Casanare","203","2023-02-28"
"2021-03-05","2021","19","Cauca","492","2023-02-28"
"2021-03-05","2021","20","Cesar","228","2023-02-28"
"2021-03-05","2021","27","Chocó","249","2023-02-28"
"2021-03-05","2021","23","Córdoba","911","2023-02-28"
"2021-03-05","2021","25","Cundinamarca","1.111","2023-02-28"
"2021-03-05","2021","94","Guainía","287","2023-02-28"
"2021-03-05","2021","95","Guaviare","7","2023-02-28"
"2021-03-05","2021","41","Huila","1.261","2023-02-28"
"2021-03-05","2021","44","La Guajira","213","2023-02-28"
"2021-03-05","2021","47","Magdalena","301","2023-02-28"
"2021-03-05","2021","47001","Santa Marta","194","2023-02-28"
"2021-03-05","2021","50","Meta","571","2023-02-28"
"2021-03-05","2021","52","Nariño","907","2023-02-28"
"2021-03-05","2021","54","Norte de Santander","884","2023-02-28"
"2021-03-05","2021","86","Putumayo","138","2023-02-28"
"2021-03-05","2021","63","Quindío","365","2023-02-28"
"2021-03-05","2021","66","Risaralda","925","2023-02-28"
"2021-03-05","2021","68","Santander","1.691","2023-02-28"
"2021-03-05","2021","70","Sucre","982","2023-02-28"
"2021-03-05","2021","73","Tolima","266","2023-02-28"
"2021-03-05","2021","76","Valle del Cauca","1.870","2023-02-28"
"2021-03-05","2021","76109","Buenaventura","90","2023-02-28"
"2021-03-05","2021","97","Vaupés","427","2023-02-28"
"2021-03-05","2021","99","Vichada","42","2023-02-28"
"2021-03-06","2021","91","Amazonas","2.455","2023-02-28"
"2021-03-06","2021","05","Antioquia","2.621","2023-02-28"
"2021-03-06","2021","81","Arauca","52","2023-02-28"
"2021-03-06","2021","08","Atlántico","589","2023-02-28"
"2021-03-06","2021","08001","Barranquilla","2.207","2023-02-28"
"2021-03-06","2021","11","Bogotá","2.226","2023-02-28"
"2021-03-06","2021","13","Bolívar","432","2023-02-28"
